Original Ontology Class,SCRF Classification,Justification
time unit,Artifact,Data unit created by humans and therefore is an artifact.
trauma patient role,"Artifact, Precept","As a role, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent occupying the role ought to operate (and so a precept)."
two dimensional cartesian spatial coordinate datum,Artifact,"As a a datum, this is produced by humans and as such is an artifact."
two-dimensional continuant fiat boundary,Artifact,Boundary of a material entity; not an agent or a precept and therefore is an artifact.
two-dimensional spatial region,Artifact,"Non-agentic spatiotemporal region, therefore is an artifact."
undergraduate higher education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
upper secondary education objective,"Artifact, Precept",Defined as an objective specification that has both a concretization (and so is an artifact) and as having an overall goal (and so is a precept).
upper secondary education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
urgent care facility,Artifact,"Physical building created by humans, therefore an artifact."
urgent care function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
utterance,Artifact,Produced by a human and therefore is an artifact.
utterance energy,Artifact,"Described as a sound energy bearing a concretization, and therefore is an artifact."
utterance process,"Artifact, Precept","As a process, it is both physically instantiated (as so is an artifact) and entails certain normative goals (and so is a precept)."
version number,Artifact,Datum created by humans and therefore an artifact.
vocal fold,Artifact,Material anatomical entity and therefore is an artifact.
vocational education objective,"Artifact, Precept",Defined as an objective specification that has both a concretization (and so is an artifact) and as having an overall goal (and so is a precept).
vocational education program,"Artifact, Precept","As a plan specification, this is both a human creation (and therefore is an agent) and a bundle of of causal theories, goals, and strategies about how an agent or agents ought to implement a plan to achieve a goal (and so a precept)."
workplace facility,Artifact,"Physical building created by humans, therefore an artifact."
workplace function,Precept,"As a function, it is ""a disposition that exists in virtue of the bearer’s physical make-up,"" and so is a precept."
writing bearer,Artifact,"A material bearer of written data created by humans, and therefore an artifact."
writing quality,Artifact,"Defined as a concretization, therefore an artifact."
written name,Artifact,Datum created by humans and therefore an artifact.
zero-dimensional continuant fiat boundary,Artifact,Boundary of a material entity; not an agent or a precept and therefore is an artifact.
zero-dimensional spatial region,Artifact,"Non-agentic spatiotemporal region, therefore is an artifact."
zero-dimensional temporal region,Artifact,"Non-agentic spatiotemporal region, therefore is an artifact."
zone improvement plan code,Artifact,Datum created by humans and therefore an artifact.
,,0
